Фото;Товар;Артикул;Производитель;Номер производителя;Раздел;Цена;Валюта;Источник цены;Дата парсинга;URL
https://media.adeo.com/media/3340823/media.jpg?width=300;Batería Solar AGM SOLARX-240 XUNZEL 12V 240Ah sin mantenimiento;15276226;Xunzel;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:52;https://www.leroymerlin.es/productos/bateria-solar-agm-solarx-240-xunzel-12v-240ah-sin-mantenimiento-15276226.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Regulador MPPT 100V 50A Victron Smart Solar;90106964;;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/regulador-mppt-100v-50a-victron-smart-solar-90106964.html
https://media.adeo.com/media/2072742/media.png?width=300;Hornillo de gas CAMPINGAZ de 2 quemadores y 1.6 kw de potencia recomendado para de 6 a 10 personas;17029236;Campingaz;de 2;Equipamiento de emergencia para el hogar;43.99;EUR;extension-list;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/hornillo-de-gas-campingaz-de-2-quemadores-y-1-6-kw-de-potencia-recomendado-para-de-6-a-10-personas-17029236.html
https://media.adeo.com/media/3921020/media.png?width=300;Regulador PWM BlueSolar 12/24V 30A LCD USB Victron;90106917;Regulador;12/24V;Equipamiento de emergencia para el hogar;49.99;EUR;extension-list;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/regulador-pwm-bluesolar-12-24v-30a-lcd-usb-victron-90106917.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Generador inverter silencioso GENERGY LIMITED2000i - 2000/1700W - Arranque eléctrico y control remoto;82560859;Genergy;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/generador-inverter-silencioso-genergy-limited2000i-2000-1700w-arranque-electrico-y-control-remoto-82560859.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Batería solar AGM U-POWER 12V 6Ah;82461724;UPOWER;;Equipamiento de emergencia para el hogar;15.29;EUR;extension-list;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/bateria-solar-agm-u-power-12v-6ah-82461724.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Generador inverter gasolina GENERGY RODAS - 3800W de potencia máxima - Arranque eléctrico;82434897;Generador;3800W;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/generador-inverter-gasolina-genergy-rodas-3800w-de-potencia-maxima-arranque-electrico-82434897.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Batería solar de litio UPOWER 1,28 kWh 100 Ah 12v;89876595;UPOWER;UPOWER 1;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/bateria-solar-de-litio-upower-1-28-kwh-100-ah-12v-89876595.html
https://media.adeo.com/mkp/92f803b280bd501c36e4b6183db376bc/media.jpg?width=100;Barbacoa carbón portátil madera doble parrilla Aktive;86581561;Barbacoa;;Equipamiento de emergencia para el hogar;96.53;EUR;extension-list;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/barbacoa-carbon-portatil-madera-doble-parrilla-aktive-86581561.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Batería de Litio Pylontech US3000C 48V 3,5 kWh;85785581;Pylontech;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/bateria-de-litio-pylontech-us3000c-48v-3-5-kwh-85785581.html
